varied_metric,threshold_multiplier,varied_threshold,other_thresholds,model,current_m3_passed,two_term_center_passed,coverage_advantage_new_minus_current,both_passed,new_only,current_only,neither,median_new_over_current_direct_cost_on_common_passes
eta_min,7.5,0.075,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,10.0,0.1,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,10.0,0.1,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,10.0,0.1,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,20.0,0.2,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,20.0,0.2,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,20.0,0.2,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,50.0,0.5,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,50.0,0.5,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,50.0,0.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,0.25,0.0125,canonical,original_one_term,2,8,6,2,6,0,9,1.1443534652159348
eta_t,0.25,0.0125,canonical,refit_one_term,2,8,6,2,6,0,9,1.1443617086463922
eta_t,0.25,0.0125,canonical,two_term,14,17,3,14,3,0,0,1.1493422681737495
eta_t,0.5,0.025,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,0.5,0.025,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,0.5,0.025,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,0.75,0.037500000000000006,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,0.75,0.037500000000000006,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,0.75,0.037500000000000006,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,1.0,0.05,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,1.0,0.05,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,1.0,0.05,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,1.25,0.0625,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,1.25,0.0625,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,1.25,0.0625,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,1.5,0.07500000000000001,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,1.5,0.07500000000000001,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,1.5,0.07500000000000001,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,2.0,0.1,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,2.0,0.1,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,2.0,0.1,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,3.0,0.15000000000000002,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,3.0,0.15000000000000002,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,3.0,0.15000000000000002,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,5.0,0.25,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,5.0,0.25,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,5.0,0.25,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,7.5,0.375,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,7.5,0.375,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,7.5,0.375,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,10.0,0.5,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,10.0,0.5,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,10.0,0.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,20.0,1.0,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,20.0,1.0,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,20.0,1.0,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_t,50.0,2.5,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_t,50.0,2.5,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_t,50.0,2.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,0.25,0.0125,canonical,original_one_term,2,8,6,2,6,0,9,1.1443534652159348
maximum_unseen_residual_over_epsilon,0.25,0.0125,canonical,refit_one_term,2,8,6,2,6,0,9,1.1443617086463922
maximum_unseen_residual_over_epsilon,0.25,0.0125,canonical,two_term,14,17,3,14,3,0,0,1.1493422681737495
maximum_unseen_residual_over_epsilon,0.5,0.025,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,0.5,0.025,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,0.5,0.025,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,0.75,0.037500000000000006,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,0.75,0.037500000000000006,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,0.75,0.037500000000000006,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,1.0,0.05,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,1.0,0.05,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,1.0,0.05,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,1.25,0.0625,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,1.25,0.0625,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,1.25,0.0625,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,1.5,0.07500000000000001,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,1.5,0.07500000000000001,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,1.5,0.07500000000000001,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,2.0,0.1,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,2.0,0.1,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,2.0,0.1,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,3.0,0.15000000000000002,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,3.0,0.15000000000000002,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,3.0,0.15000000000000002,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,5.0,0.25,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,5.0,0.25,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,5.0,0.25,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,7.5,0.375,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,7.5,0.375,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,7.5,0.375,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,10.0,0.5,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,10.0,0.5,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,10.0,0.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,20.0,1.0,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,20.0,1.0,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,20.0,1.0,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
maximum_unseen_residual_over_epsilon,50.0,2.5,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
maximum_unseen_residual_over_epsilon,50.0,2.5,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
maximum_unseen_residual_over_epsilon,50.0,2.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
