varied_metric,threshold_multiplier,varied_threshold,other_thresholds,pf,model,passed,total,coverage,failed_conditions,median_direct_cost_ratio_to_current_over_covered
eta_star,1.0,0.01,canonical,current_m3,refit_one_term,3,17,0.17647058823529413,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz,1.0
eta_star,1.0,0.01,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,1.0,0.01,canonical,two_term_center,original_one_term,11,17,0.6470588235294118,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H7;LiH_CAS2e4o,1.1475847187934167
eta_star,1.0,0.01,canonical,two_term_center,refit_one_term,12,17,0.7058823529411765,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;LiH_CAS2e4o,1.1478076242777788
eta_star,1.0,0.01,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,1.25,0.0125,canonical,current_m3,original_one_term,4,17,0.23529411764705882,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch150;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz,1.0
eta_star,1.25,0.0125,canonical,current_m3,refit_one_term,6,17,0.35294117647058826,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz,1.0
eta_star,1.25,0.0125,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,1.25,0.0125,canonical,two_term_center,original_one_term,13,17,0.7647058823529411,BeH2_CAS4e4o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;LiH_CAS2e4o,1.1479751023976927
eta_star,1.25,0.0125,canonical,two_term_center,refit_one_term,13,17,0.7647058823529411,BeH2_CAS4e4o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;LiH_CAS2e4o,1.148009829452456
eta_star,1.25,0.0125,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,1.5,0.015,canonical,current_m3,original_one_term,8,17,0.47058823529411764,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H6;H7;LiH_CAS2e4o;NH3_ccpvdz,1.0
eta_star,1.5,0.015,canonical,current_m3,refit_one_term,9,17,0.5294117647058824,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H6;H7;LiH_CAS2e4o,1.0
eta_star,1.5,0.015,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,1.5,0.015,canonical,two_term_center,original_one_term,15,17,0.8823529411764706,BeH2_CAS4e4o;LiH_CAS2e4o,1.1486132460818306
eta_star,1.5,0.015,canonical,two_term_center,refit_one_term,15,17,0.8823529411764706,BeH2_CAS4e4o;LiH_CAS2e4o,1.1486806952464346
eta_star,1.5,0.015,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,2.0,0.02,canonical,current_m3,original_one_term,12,17,0.7058823529411765,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,2.0,0.02,canonical,current_m3,refit_one_term,12,17,0.7058823529411765,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,2.0,0.02,canonical,current_m3,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.0
eta_star,2.0,0.02,canonical,two_term_center,original_one_term,17,17,1.0,,1.1498955026642743
eta_star,2.0,0.02,canonical,two_term_center,refit_one_term,17,17,1.0,,1.1499561026378546
eta_star,2.0,0.02,canonical,two_term_center,two_term,17,17,1.0,,1.151257977613777
eta_star,3.0,0.03,canonical,current_m3,original_one_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
