pf,model,passed,total,mean_eta_star,median_eta_star,worst_eta_star,worst_eta_star_condition,mean_eta_min,median_eta_min,worst_eta_min,worst_eta_min_condition,mean_eta_t,median_eta_t,worst_eta_t,worst_eta_t_condition,mean_maximum_unseen_residual_over_epsilon,median_maximum_unseen_residual_over_epsilon,worst_maximum_unseen_residual_over_epsilon,worst_maximum_unseen_residual_over_epsilon_condition
current_m3,original_one_term,3,17,0.018760188364920754,0.015071890231943757,0.053124979772316436,LiH_CAS2e4o,0.029055714523612945,0.001527578180685163,0.45794629355764216,LiH_CAS2e4o,0.03809411959903095,0.021301375560916713,0.22349155469414883,LiH_CAS2e4o,0.05826893786304737,0.028232632453951648,0.5039052241482085,LiH_CAS2e4o
current_m3,refit_one_term,3,17,0.018151464123470303,0.014597114182866732,0.0520194750466745,LiH_CAS2e4o,0.02890260385727316,0.0014637653281106555,0.4568601214270307,LiH_CAS2e4o,0.037410468440664625,0.020690071599518967,0.22209602852943466,LiH_CAS2e4o,0.057218624555180585,0.027392464300240775,0.4999683782520283,LiH_CAS2e4o
current_m3,two_term,16,17,0.003775092728867532,0.0010199955732605977,0.032886307398168085,LiH_CAS2e4o,0.024707648318609186,0.0,0.4182216687814375,LiH_CAS2e4o,0.012673362027737911,0.0,0.16666666666666663,LiH_CAS2e4o,0.025875627227972778,0.0015156556211767345,0.3646668325968947,LiH_CAS2e4o
two_term_center,original_one_term,11,17,0.009285410018777834,0.00943568855317837,0.019362624232966166,LiH_CAS2e4o,0.0005891758125716805,0.0004621080368976127,0.0023186199376570293,LiH_CAS2e4o,0.013387508596315956,0.013962293918119428,0.026256980520270812,LiH_CAS2e4o,0.01479713496172368,0.014536353469606151,0.03442829631096122,LiH_CAS2e4o
two_term_center,refit_one_term,12,17,0.008918307695470109,0.009037225788176595,0.01854211700729928,LiH_CAS2e4o,0.0005567745839891463,0.0004349124460332199,0.0021885603139422116,LiH_CAS2e4o,0.012998791660828742,0.01354609872051138,0.025346092229803663,LiH_CAS2e4o,0.014301503217116427,0.014013918730917074,0.03321242077638989,LiH_CAS2e4o
two_term_center,two_term,17,17,0.00038643332030380707,6.910089655143407e-05,0.002884450633119834,LiH_CAS2e4o,0.0,0.0,0.0,H6,0.0,0.0,0.0,H6,0.0007511400593927394,0.00011542326323975623,0.005961833205839757,LiH_CAS2e4o
