dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,canonical_pass,failed_metric_count,failed_metrics,worst_normalized_metric,worst_normalized_value,normalized_eta_star,normalized_eta_min,normalized_eta_t,normalized_maximum_unseen_residual_over_epsilon
twelve_condition_holdout,BeH2_stretch125,BeH2,BeH2,geometry,current_m3,original_one_term,False,1,eta_star,eta_star,1.442101589194306,1.442101589194306,0.11456907263225347,0.42602751121833426,0.4699634486426689
twelve_condition_holdout,BeH2_stretch125,BeH2,BeH2,geometry,current_m3,refit_one_term,False,1,eta_star,eta_star,1.3850595062346058,1.3850595062346058,0.10836775529257103,0.41380143199037933,0.4540404374358055
twelve_condition_holdout,BeH2_stretch125,BeH2,BeH2,geometry,current_m3,two_term,True,0,,eta_star,0.03838178884236437,0.03838178884236437,0.0,0.0,0.014703872513662224
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,two_term_center,original_one_term,True,0,,eta_star,0.9435688553178371,0.9435688553178371,0.04621080368976127,0.27924587836238857,0.290727069392123
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,two_term_center,refit_one_term,True,0,,eta_star,0.9037225788176595,0.9037225788176595,0.04349124460332199,0.2709219744102276,0.28027837461834143
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,two_term_center,two_term,True,0,,eta_star,0.006910089655143407,0.006910089655143407,0.0,0.0,0.0023084652647951246
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,current_m3,original_one_term,False,1,eta_star,eta_star,1.2989871443461496,1.2989871443461496,0.09095745771416919,0.38609962880693516,0.4158766171597117
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,current_m3,refit_one_term,False,1,eta_star,eta_star,1.2457503613158547,1.2457503613158547,0.08582008802426877,0.37477899364601663,0.4012805689984994
twelve_condition_holdout,BeH2_stretch150,BeH2,BeH2,geometry,current_m3,two_term,True,0,,eta_star,0.01545515519577948,0.01545515519577948,0.0,0.0,0.005932367159830995
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,two_term_center,original_one_term,True,0,,eta_star,0.6215973858285021,0.6215973858285021,0.01980615960346377,0.18143892662673355,0.18651271667357464
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,two_term_center,refit_one_term,True,0,,eta_star,0.5991916323817008,0.5991916323817008,0.018809407094666497,0.17682732846599825,0.1808627098839371
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,two_term_center,two_term,True,0,,eta_star,0.0027763151232992685,0.0027763151232992685,0.0,0.0,0.0007169809406318433
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,current_m3,original_one_term,False,1,eta_star,eta_star,1.0662281821353283,1.0662281821353283,0.06156526886167413,0.30575318185175115,0.33616175041805707
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,current_m3,refit_one_term,False,1,eta_star,eta_star,1.0279389812260222,1.0279389812260222,0.05853184138766565,0.2976918504301884,0.32597404640785127
twelve_condition_holdout,H2O_stretch125,H2O,H2O,geometry,current_m3,two_term,True,0,,eta_star,0.039829589066782294,0.039829589066782294,0.0,0.0,0.014951093832815126
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,two_term_center,original_one_term,True,0,,eta_star,0.7431916521312285,0.7431916521312285,0.028450607861829624,0.21838898559898512,0.22536988145157796
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,two_term_center,refit_one_term,True,0,,eta_star,0.7141686807108635,0.7141686807108635,0.026901061153772332,0.2123819543002714,0.21794255205753837
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,two_term_center,two_term,True,0,,eta_star,0.0052863758629116755,0.0052863758629116755,0.0,0.0,0.0014001291315913667
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,current_m3,original_one_term,False,1,eta_star,eta_star,1.2776286448288698,1.2776286448288698,0.09159912106517787,0.3635685286912804,0.4153378042777636
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,current_m3,refit_one_term,False,1,eta_star,eta_star,1.2305003915823234,1.2305003915823234,0.08702089329899465,0.35352807454449353,0.40246431462245963
twelve_condition_holdout,H2O_stretch150,H2O,H2O,geometry,current_m3,two_term,True,0,,eta_star,0.07338786373024052,0.07338786373024052,0.0,0.0,0.030035686295476365
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,two_term_center,original_one_term,False,1,eta_star,eta_star,1.3409904106438681,1.3409904106438681,0.09580440272942692,0.4073315765240615,0.4295242778393009
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,two_term_center,refit_one_term,False,1,eta_star,eta_star,1.2846900092695341,1.2846900092695341,0.09022449316373748,0.39534786422486423,0.4139907407714871
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,two_term_center,two_term,True,0,,eta_star,0.012339284613027277,0.012339284613027277,0.0,0.0,0.004020009266610862
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,current_m3,original_one_term,False,1,eta_star,eta_star,1.9361210847121182,1.9361210847121182,0.21532059108611,0.5890260058524044,0.6658721167670568
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,current_m3,refit_one_term,False,1,eta_star,eta_star,1.859929810941292,1.859929810941292,0.20384982257941608,0.5722828681563263,0.6431486280768484
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,BeH2,geometry_and_basis,current_m3,two_term,True,0,,eta_star,0.05599601729761525,0.05599601729761525,0.0,0.0,0.023170552664967415
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,two_term_center,original_one_term,False,1,eta_star,eta_star,1.4056855549197773,1.4056855549197773,0.10608672920902062,0.42602751121833426,0.45354111677710823
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,two_term_center,refit_one_term,False,1,eta_star,eta_star,1.3450659129943907,1.3450659129943907,0.09975977406666559,0.4130813797842259,0.43668187242667245
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,two_term_center,two_term,True,0,,eta_star,0.007923605491959517,0.007923605491959517,0.0,0.0,0.0020579296275762085
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,current_m3,original_one_term,False,1,eta_star,eta_star,2.193078256106425,2.193078256106425,0.2882045176716197,0.6634374607226046,0.7840139945974139
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,BeH2,geometry_and_basis,current_m3,refit_one_term,False,1,eta_star,eta_star,2.106380473292312,2.106380473292312,0.2730175072700014,0.644087789794674,0.7572529986886352
