strategy_id,strategy_label,pf,condition_count,saved_condition_passed,maximum_target_excess_over_epsilon,minimum_quantum_cost_ratio,minimum_quantum_cost_ratio_condition,median_quantum_cost_ratio,maximum_quantum_cost_ratio,maximum_quantum_cost_ratio_condition,equal_one_run_basket_quantum_cost,base_calibration_points_over_17,extra_direct_diagnostic_points_over_17,total_points_over_17,base_calibration_seconds_over_17,extra_direct_diagnostic_seconds_over_17,validation_truth_used_for_decision,pre_fixed_rule,information_class,implementation_complexity,required_input,conditions_selecting_nonunit_relative_time,equal_one_run_basket_cost_ratio
current_two_term_tstar,current_m3 two-term at model t_star,current_m3,17,17,0.0,1.0,BeH2_CAS4e4o,1.0,1.0,BeH2_CAS4e4o,1813691881.854351,137,0,137,211.53492418600945,0.0,False,True,oracle-assisted target calibration; no validation truth in rule,low,saved exact-state short-time proxy and three signed direct fit points,0,1.0
current_two_term_plus_1pct_budget,current_m3 two-term plus fixed 1% budget margin,current_m3,17,17,0.0,1.01,BeH2_CAS4e4o,1.01,1.01,BeH2_CAS4e4o,1831828800.6728947,137,0,137,211.53492418600945,0.0,False,True,pre-fixed safety rule after target calibration,low,current two-term calibration plus a fixed scalar cost margin,0,1.01
current_two_term_time_cap_0p9,current_m3 two-term at fixed 0.9 t_star cap,current_m3,17,17,0.0,1.0204910127205122,LiH_CAS2e4o,1.022427450412984,1.0228447630766266,H2O_stretch150_631g,1854566879.1307735,137,0,137,211.53492418600945,0.0,False,True,pre-fixed conservative time rule after target calibration,low,current two-term calibration; no validation truth for the decision,17,1.0225369025937476
current_one_direct_check_tstar,current_m3 plus one direct check at t_star,current_m3,17,17,1.700869263140954e-16,0.9681607673926781,LiH_CAS2e4o,0.998981043757596,0.9998454723305333,BeH2_stretch150,1810928527.5236144,137,17,154,211.53492418600945,70.59100756858243,True,True,one additional exact direct PF point,moderate,current two-term calibration plus one exact direct PF point,0,0.998476392623034
current_three_point_local_search,"current_m3 direct search at 0.9,1.0,1.1 t_star",current_m3,17,17,1.700869263140954e-16,0.9139908669976377,LiH_CAS2e4o,0.998981043757596,0.9998454723305333,BeH2_stretch150,1810830347.4149323,137,51,188,211.53492418600945,211.07163041562308,True,True,three additional exact direct PF points,moderate,current two-term calibration plus three exact direct PF points,1,0.9984222598843564
current_full_saved_grid_oracle_reference,current_m3 full saved adaptive-grid oracle reference,current_m3,17,17,1.700869263140954e-16,0.6826582816383985,LiH_CAS2e4o,0.998981043757596,0.9998454723305333,BeH2_stretch150,1810401571.1880746,137,117,254,211.53492418600945,490.0063333346625,True,False,adaptive saved direct-grid oracle reference,high diagnostic reference,current calibration plus the complete saved adaptive direct grid,3,0.9981858491515591
new_two_term_plus_1pct_budget,two_term_center two-term plus fixed 1% budget margin,two_term_center,17,17,0.0,1.155545490565558,H2O_stretch150_ccpvdz,1.161547447117907,1.186709631372929,LiH_CAS2e4o,2105986456.3269348,136,0,136,212.60991901095258,0.0,False,True,pre-fixed safety rule after target calibration,moderate,separate PF implementation and calibration plus a fixed cost margin,0,1.1611599949235791
